Date:  14:12; tirsdag; maj 28;2024;
Model name: Solution13b;;;;
Study name: Hotspot(-Default<As Machined>-);;;;
Plot type: Static nodal stress Stress1;;;;
Result Type: P1 ;;;;
;;;;
;;;;
Node  ;S;X;Y (mm)  ;Z (mm)
23.00;705.30;8.52;50.00;-100.00
3118.00;625.60;10.22;50.00;-100.00
3.00;382.30;11.92;50.00;-100.00
3117.00;341.30;14.47;50.00;-100.00
1.00;311.50;17.02;50.00;-100.00
3083.00;295.00;19.69;50.00;-100.00
606.00;279.00;22.36;50.00;-100.00
3084.00;265.60;25.02;50.00;-100.00
603.00;255.40;27.69;50.00;-100.00
